[31-07 16:40:11] [S2] 32.5, 64.2
[31-07 16:45:37] [S2] 32.6, 62.8
[31-07 16:50:38] [S2] 32.7, 66.2
[31-07 16:55:38] [S2] 32.7, 62.1
[31-07 17:00:39] [S2] 32.8, 61.5
[31-07 17:05:39] [S2] 32.9, 59.8
[31-07 17:10:40] [S2] 32.9, 59.9
[31-07 17:14:20] [S2] 33.0, 59.5
[31-07 17:29:08] [S2] 33.0, 59.5
[31-07 17:34:34] [S2] 33.1, 60.0
[31-07 17:39:35] [S2] 33.1, 58.7
[31-07 17:44:35] [S2] 33.1, 58.4
[31-07 17:49:36] [S2] 33.1, 58.2
[31-07 17:54:37] [S2] 33.0, 58.1
[31-07 17:59:37] [S2] 33.0, 58.6
[31-07 18:04:38] [S2] 33.0, 58.4
[31-07 18:09:39] [S2] 32.9, 58.5
[31-07 18:14:39] [S2] 32.9, 59.0
[31-07 18:17:17] [S2] 32.8, 61.1
[31-07 18:41:36] [S2] 32.8, 61.0
[31-07 18:47:02] [S2] 32.8, 62.9
[31-07 18:52:02] [S2] 32.8, 63.1
[31-07 18:57:03] [S2] 32.8, 61.3
[31-07 19:02:04] [S2] 32.9, 59.7
[31-07 19:07:04] [S2] 32.8, 58.9
[31-07 19:12:05] [S2] 32.6, 57.9
[31-07 19:17:05] [S2] 32.7, 58.5
[31-07 19:22:06] [S2] 32.8, 58.3
[31-07 19:27:06] [S2] 32.8, 58.3
[31-07 19:32:07] [S2] 32.7, 58.6
[31-07 19:37:08] [S2] 32.7, 59.1
[31-07 19:42:08] [S2] 32.6, 58.8
[31-07 19:47:09] [S2] 32.5, 58.7
[31-07 19:52:09] [S2] 32.5, 59.4
[31-07 19:57:10] [S2] 32.4, 60.4
[31-07 20:02:10] [S2] 32.4, 59.1
[31-07 20:07:11] [S2] 32.3, 60.2
[31-07 20:12:12] [S2] 32.1, 58.1
[31-07 20:17:12] [S2] 31.9, 59.0
[31-07 20:22:13] [S2] 31.7, 59.1
[31-07 20:27:13] [S2] 31.5, 59.7
[31-07 20:32:14] [S2] 31.4, 59.9
[31-07 20:37:14] [S2] 31.3, 59.7
[31-07 20:42:15] [S2] 31.1, 59.6
[31-07 20:47:15] [S2] 31.1, 59.4
[31-07 20:52:16] [S2] 30.9, 58.5
[31-07 20:57:17] [S2] 30.7, 59.3
[31-07 21:02:17] [S2] 30.6, 56.2
[31-07 21:07:18] [S2] 30.8, 52.9
[31-07 21:12:18] [S2] 30.5, 51.3
[31-07 21:17:19] [S2] 30.1, 51.3
[31-07 21:22:19] [S2] 30.0, 48.4
[31-07 21:27:20] [S2] 30.1, 51.2
[31-07 21:32:20] [S2] 29.7, 49.1
[31-07 21:37:21] [S2] 29.4, 48.2
[31-07 21:42:22] [S2] 29.7, 48.7
[31-07 21:47:22] [S2] 29.8, 49.2
[31-07 21:52:23] [S2] 29.8, 46.5
[31-07 21:57:23] [S2] 29.1, 49.0
[31-07 22:02:24] [S2] 29.6, 48.3
[31-07 22:07:24] [S2] 29.4, 47.6
[31-07 22:12:25] [S2] 29.4, 46.0
[31-07 22:17:26] [S2] 29.0, 47.6
[31-07 22:22:26] [S2] 29.3, 49.3
[31-07 22:27:27] [S2] 29.4, 48.5
[31-07 22:32:27] [S2] 29.1, 47.5
[31-07 22:37:28] [S2] 29.3, 47.1
[31-07 22:42:28] [S2] 28.5, 47.6
[31-07 22:47:29] [S2] 29.5, 51.8
[31-07 22:52:30] [S2] 29.7, 47.4
[31-07 22:57:30] [S2] 29.0, 47.7
[31-07 23:02:31] [S2] 29.0, 51.3
[31-07 23:07:31] [S2] 29.5, 50.9
[31-07 23:12:32] [S2] 28.8, 52.5
[31-07 23:17:32] [S2] 29.4, 56.5
[31-07 23:22:33] [S2] 29.3, 57.8
[31-07 23:27:33] [S2] 29.0, 60.5
[31-07 23:32:34] [S2] 29.1, 64.5
[31-07 23:37:35] [S2] 29.5, 63.7
[31-07 23:42:35] [S2] 29.5, 63.0
[31-07 23:47:36] [S2] 29.1, 67.8
[31-07 23:52:36] [S2] 29.1, 69.8
[31-07 23:57:37] [S2] 28.9, 72.0
[01-08 00:02:37] [S2] 28.9, 72.6
[01-08 00:07:38] [S2] 29.1, 71.8
[01-08 00:12:38] [S2] 29.1, 64.5
[01-08 00:17:39] [S2] 28.8, 69.2
[01-08 00:22:40] [S2] 28.3, 72.9
[01-08 00:27:40] [S2] 28.1, 71.6
[01-08 00:32:41] [S2] 28.2, 64.3
[01-08 00:37:41] [S2] 28.3, 64.8
[01-08 00:42:42] [S2] 28.1, 64.6
[01-08 00:47:43] [S2] 27.7, 63.1
[01-08 00:52:43] [S2] 27.9, 58.4
[01-08 00:57:44] [S2] 27.6, 58.4
