[31-07 16:40:10] [S3] 48.875, [S5] 40.125, 
[31-07 16:45:38] [S3] 48.687, [S5] 40.062, 
[31-07 16:50:40] [S3] 47.75, [S5] 40.25, 
[31-07 16:55:42] [S3] 46.812, [S5] 40.312, 
[31-07 17:00:44] [S3] 46.125, [S5] 40.312, 
[31-07 17:05:46] [S3] 46.687, [S5] 40.312, 
[31-07 17:10:49] [S3] 46.312, [S5] 25.0, 
[31-07 17:14:08] [S3] 45.625, [S5] 40.187, 
[31-07 17:29:07] [S3] 45.5, [S4] 32.875, [S5] 40.25, 
[31-07 17:34:36] [S3] 45.687, [S4] 32.75, [S5] 40.25, 
[31-07 17:39:39] [S3] 44.437, [S4] 32.562, [S5] 40.187, 
[31-07 17:44:41] [S3] 45.0, [S4] 32.437, [S5] 40.187, 
[31-07 17:49:44] [S3] 43.687, [S4] 32.437, [S5] 40.125, 
[31-07 17:54:47] [S3] 44.187, [S4] 32.312, [S5] 40.062, 
[31-07 17:59:50] [S3] 43.687, [S4] 32.125, [S5] 40.062, 
[31-07 18:04:52] [S3] 43.062, [S4] 32.187, [S5] 39.937, 
[31-07 18:09:55] [S3] 43.125, [S4] 32.187, [S5] 39.875, 
[31-07 18:14:58] [S3] 43.062, [S4] 32.25, [S5] 39.75, 
[31-07 18:17:10] [S3] 41.937, [S4] 32.687, [S5] 39.25, 
[31-07 18:41:36] [S3] 41.437, [S4] 33.125, [S5] 39.125, 
[31-07 18:47:04] [S3] 41.187, [S4] 32.5, [S5] 39.062, 
[31-07 18:52:06] [S3] 40.875, [S4] 32.75, [S5] 38.687, 
[31-07 18:57:09] [S3] 40.5, [S4] 32.562, [S5] 38.562, 
[31-07 19:02:12] [S3] 40.125, [S4] 32.125, [S5] 38.437, 
[01-08 14:34:42] [S3] 38.375, [S4] 37.187, [S5] 33.375, 
[01-08 14:40:11] [S3] 38.75, [S4] 37.062, [S5] 33.75, 
[01-08 14:45:13] [S3] 39.0, [S4] 37.687, [S5] 33.75, 
[01-08 14:50:16] [S3] 39.125, [S4] 38.062, [S5] 34.062, 
[01-08 14:55:19] [S3] 39.625, [S4] 39.125, [S5] 34.062, 
[01-08 15:00:22] [S3] 39.75, [S4] 38.625, [S5] 34.062, 
01-08;15:04:15 ;S3;40,125;S4;38,812;S5;34,437
01-08;15:08:32;S3;40,25;S4;39,125;S5;34,625
01-08;15:14:00;S3;40,062;S4;39,375;S5;34,437
01-08;15:19:02;S3;40,187;S4;38,937;S5;34,625
01-08;15:24:05;S3;40,125;S4;38,562;S5;34,75
01-08;15:29:08;S3;39,5;S4;37,25;S5;34,812
01-08;15:34:11;S3;40,0;S4;38,062;S5;34,812
01-08;15:39:14;S3;39,75;S4;36,687;S5;34,75
01-08;15:44:16;S3;40,0;S4;37,5;S5;35,062
01-08;15:49:19;S3;40,312;S4;38,062;S5;35,125
01-08;15:54:22;S3;39,375;S4;34,562;S5;35,0
01-08;15:59:25;S3;39,687;S4;35,875;S5;35,0
01-08;16:04:28;S3;39,0;S4;35,312;S5;35,062
01-08;16:09:30;S3;39,875;S4;36,812;S5;35,187
01-08;16:14:33;S3;39,687;S4;36,562;S5;35,062
01-08;16:19:36;S3;39,625;S4;36,437;S5;35,125
01-08;16:24:39;S3;39,125;S4;35,0;S5;34,812
01-08;16:29:42;S3;39,812;S4;37,25;S5;35,187
01-08;16:34:44;S3;40,062;S4;37,125;S5;35,25
01-08;16:39:47;S3;40,187;S4;36,812;S5;35,562
01-08;16:44:50;S3;40,0;S4;36,75;S5;35,437
01-08;16:49:53;S3;39,562;S4;36,187;S5;35,5
01-08;16:54:56;S3;40,062;S4;36,437;S5;35,625
01-08;16:59:58;S3;39,437;S4;35,937;S5;35,812
01-08;17:05:01;S3;40,25;S4;37,687;S5;36,062
01-08;17:10:04;S3;39,5;S4;34,562;S5;36,25
01-08;17:15:07;S3;39,625;S4;36,25;S5;36,25
01-08;17:20:10;S3;39,562;S4;35,562;S5;36,312
01-08;17:25:13;S3;39,437;S4;34,812;S5;36,375
01-08;17:30:15;S3;39,562;S4;34,812;S5;36,437
01-08;17:35:18;S3;39,125;S4;34,0;S5;36,437
01-08;17:40:21;S3;38,75;S4;33,937;S5;36,437
01-08;17:45:24;S3;38,312;S4;33,187;S5;36,375
01-08;17:50:27;S3;38,875;S4;34,312;S5;36,312
01-08;17:55:29;S3;38,875;S4;34,812;S5;36,312
01-08;18:00:32;S3;38,312;S4;33,062;S5;36,25
01-08;18:05:35;S3;38,062;S4;32,562;S5;36,187
01-08;18:10:38;S3;38,25;S4;33,75;S5;36,125
01-08;18:15:41;S3;38,437;S4;33,562;S5;36,062
01-08;18:20:43;S3;37,687;S4;32,062;S5;35,0
01-08;18:25:46;S3;37,437;S4;31,187;S5;34,75
