[09-07-2020 21:11:40] [S3] 27.25, [S5] 27.0, 
[09-07-2020 21:11:52] [S3] 27.187, [S5] 27.0, 
[09-07-2020 21:12:03] [S3] 27.125, [S5] 26.937, 
[09-07-2020 21:13:31] [S3] 27.0, [S5] 26.875, 
[09-07-2020 21:13:43] [S3] 26.875, [S5] 26.875, 
[09-07-2020 21:13:55] [S3] 26.75, [S5] 26.875, 
[09-07-2020 21:14:06] [S3] 26.75, [S5] 26.812, 
[09-07-2020 21:14:18] [S3] 26.75, [S5] 26.75, 
[09-07-2020 21:14:30] [S3] 26.75, [S5] 26.687, 
[09-07-2020 21:14:42] [S3] 26.687, [S5] 26.687, 
[09-07-2020 21:14:53] [S3] 26.75, [S5] 26.75, 
[09-07-2020 21:15:05] [S3] 26.687, [S5] 26.75, 
[09-07-2020 21:15:17] [S3] 26.687, [S5] 26.812, 
[09-07-2020 21:15:29] [S3] 26.812, [S5] 26.875, 
[09-07-2020 21:15:40] [S3] 26.687, [S5] 26.812, 
[09-07-2020 21:15:52] [S3] 26.75, [S5] 26.875, 
[09-07-2020 21:16:04] [S3] 26.812, [S5] 26.875, 
[09-07-2020 21:16:16] [S3] 26.875, [S5] 26.937, 
[09-07-2020 21:16:28] [S3] 26.812, [S5] 26.937, 
[09-07-2020 21:16:39] [S3] 26.937, [S5] 26.937, 
[09-07-2020 21:16:51] [S3] 27.0, [S5] 27.0, 
[09-07-2020 21:17:03] [S3] 27.0, [S5] 27.0, 
[09-07-2020 21:17:15] [S3] 26.937, [S5] 27.0, 
[09-07-2020 21:17:26] [S3] 26.937, [S5] 26.937, 
[09-07-2020 21:17:38] [S3] 26.937, [S5] 27.0, 
[09-07-2020 21:17:50] [S3] 27.0, [S5] 27.062, 
